"schema","table_name","policy_name","permissive","roles","cmd","qual","with_check","classification","expected","difference"
"public","clinics","clinics_admin_select","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_admin_update","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_delete_for_admin","PERMISSIVE","{public}","DELETE","(app_private.get_current_role() = 'admin'::text)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_own_select","PERMISSIVE","{public}","SELECT","app_private.can_access_clinic(id)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","critical_incidents","Admins can manage incidents","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","critical_incidents","Affected clinics can view their incidents","PERMISSIVE","{public}","SELECT","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND (profiles.clinic_id = ANY (critical_incidents.affected_clinics)))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","csp_violations_insert_any","PERMISSIVE","{public}","INSERT",,"(( SELECT auth.role() AS role) = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","csp_violations_select_admin","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","csp_violations_update_admin","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customer_insurance_coverages","customer_insurance_coverages_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customer_insurance_coverages","customer_insurance_coverages_write_for_clinic_pricing_admin","PERMISSIVE","{authenticated}","ALL","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_delete_for_admin","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_insert_for_staff","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_update_for_staff","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tag_definitions","daily_report_item_tag_definitions_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_delete_for_managers","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_insert_for_staff","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_delete_for_managers","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_insert_for_staff","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_update_for_staff","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_reports","daily_reports_delete_for_managers","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_reports","daily_reports_insert_for_staff","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
