"schema","signature","function_name","identity_arguments","result_type","owner","language","security_definer","volatility","config","grantee","can_execute","runtime_callers","classification","expected","difference"
"public","enqueue_line_chat_message(uuid,uuid,text,uuid)","enqueue_line_chat_message","p_clinic_id uuid, p_conversation_id uuid, p_text text, p_sent_by uuid","uuid","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","enqueue_line_chat_message(uuid,uuid,text,uuid)","enqueue_line_chat_message","p_clinic_id uuid, p_conversation_id uuid, p_text text, p_sent_by uuid","uuid","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","enqueue_line_chat_message(uuid,uuid,text,uuid)","enqueue_line_chat_message","p_clinic_id uuid, p_conversation_id uuid, p_text text, p_sent_by uuid","uuid","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","enqueue_outreach_campaign(uuid,uuid,text,jsonb)","enqueue_outreach_campaign","p_clinic_id uuid, p_campaign_id uuid, p_expected_message_body text, p_deliveries jsonb","TABLE(enqueued_count integer, sent_at timestamp with time zone)","postgres","plpgsql","false","v","search_path=pg_catalog, public","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","enqueue_outreach_campaign(uuid,uuid,text,jsonb)","enqueue_outreach_campaign","p_clinic_id uuid, p_campaign_id uuid, p_expected_message_body text, p_deliveries jsonb","TABLE(enqueued_count integer, sent_at timestamp with time zone)","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","enqueue_outreach_campaign(uuid,uuid,text,jsonb)","enqueue_outreach_campaign","p_clinic_id uuid, p_campaign_id uuid, p_expected_message_body text, p_deliveries jsonb","TABLE(enqueued_count integer, sent_at timestamp with time zone)","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","enqueue_outreach_campaign(uuid,uuid,text,jsonb)","enqueue_outreach_campaign","p_clinic_id uuid, p_campaign_id uuid, p_expected_message_body text, p_deliveries jsonb","TABLE(enqueued_count integer, sent_at timestamp with time zone)","postgres","plpgsql","false","v","search_path=pg_catalog, public","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","expire_line_setup_sessions(uuid)","expire_line_setup_sessions","p_clinic_id uuid","integer","postgres","plpgsql","false","v","search_path=pg_catalog, public","anon","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","expire_line_setup_sessions(uuid)","expire_line_setup_sessions","p_clinic_id uuid","integer","postgres","plpgsql","false","v","search_path=pg_catalog, public","authenticated","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","expire_line_setup_sessions(uuid)","expire_line_setup_sessions","p_clinic_id uuid","integer","postgres","plpgsql","false","v","search_path=pg_catalog, public","PUBLIC","false","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
